ticker,date,ma_5,ma_20,ma_200,ret_1d,ret_5d,gap_o_c,version
005930.KS,2025-10-20,,,,,,,v1
005930.KS,2025-10-21,,,,-0.006116207951070374,,0.004077471967380225,v1
005930.KS,2025-10-22,,,,0.011282051282051286,,-0.0041025641025641026,v1
005930.KS,2025-10-23,,,,-0.02129817444219062,,-0.018255578093306288,v1
005930.KS,2025-10-24,97900.0,,,0.023834196891191706,,0.014507772020725389,v1
005930.KS,2025-10-27,98680.0,,,0.03238866396761142,0.039755351681957096,0.025303643724696356,v1
005930.KS,2025-10-28,99080.0,,,-0.02450980392156865,0.02051282051282044,-0.010784313725490196,v1
005930.KS,2025-10-29,99460.0,,,0.01005025125628145,0.01926977687626774,0.007035175879396985,v1
