ticker,date,fwd_ret,label,horizon
000660.KS,2024-10-28,-0.010204050419994948,0,5
000660.KS,2024-10-29,0.015239111281494022,1,5
000660.KS,2024-10-30,0.004102632563690145,1,5
000660.KS,2024-10-31,0.05099305600957171,1,5
000660.KS,2024-11-01,0.10043905060880243,1,5
000660.KS,2024-11-04,-0.0072165132065136195,0,5
000660.KS,2024-11-05,-0.03830228106778821,0,5
000660.KS,2024-11-06,-0.0658835718496491,0,5
000660.KS,2024-11-07,-0.1164453134694543,0,5
000660.KS,2024-11-08,-0.11122186173841675,0,5
000660.KS,2024-11-11,-0.10851503095595194,0,5
000660.KS,2024-11-12,-0.08180839731312473,0,5
000660.KS,2024-11-13,-0.06724985001330575,0,5
000660.KS,2024-11-14,-0.024277608256734196,0,5
000660.KS,2024-11-15,-0.00841759263136821,0,5
000660.KS,2024-11-18,0.030867765849791118,1,5
000660.KS,2024-11-19,0.03810086443391558,1,5
000660.KS,2024-11-20,-0.013481902672021207,0,5
000660.KS,2024-11-21,-0.045616047409299476,0,5
000660.KS,2024-11-22,-0.09507646707659356,0,5
000660.KS,2024-11-25,-0.10282485452685097,0,5
000660.KS,2024-11-26,-0.06888772957973732,0,5
000660.KS,2024-11-27,-0.001782455496968427,0,5
000660.KS,2024-11-28,0.0738672554723594,1,5
000660.KS,2024-11-29,0.045028205529965115,1,5
000660.KS,2024-12-02,0.06360199309062975,1,5
000660.KS,2024-12-03,0.0333536615585861,1,5
000660.KS,2024-12-04,0.022619024476505212,1,5
000660.KS,2024-12-05,0.017918950367284525,1,5
000660.KS,2024-12-06,0.05026933558726987,1,5
000660.KS,2024-12-09,0.06157489483983558,1,5
000660.KS,2024-12-10,0.07981214049982532,1,5
000660.KS,2024-12-11,0.0681024877338876,1,5
000660.KS,2024-12-12,-0.006246364798455306,0,5
000660.KS,2024-12-13,-0.0398860519237233,0,5
000660.KS,2024-12-16,-0.05409926352347394,0,5
000660.KS,2024-12-17,-0.08423914907511443,0,5
000660.KS,2024-12-18,-0.07302459648904092,0,5
000660.KS,2024-12-19,-0.0028571114315831814,0,5
000660.KS,2024-12-20,0.03204751992137811,1,5
000660.KS,2024-12-23,0.009433933303286013,1,5
000660.KS,2024-12-24,0.07952521277185443,1,5
000660.KS,2024-12-26,0.17460317754769417,1,5
000660.KS,2024-12-27,0.11747838956352008,1,5
000660.KS,2024-12-30,0.11960887118248342,1,5
000660.KS,2025-01-02,0.19742990514248437,1,5
000660.KS,2025-01-03,0.11874663466475699,1,5
000660.KS,2025-01-06,-0.027527463581014988,0,5
000660.KS,2025-01-07,0.0,0,5
000660.KS,2025-01-08,0.017976420938673243,1,5
000660.KS,2025-01-09,0.024390362160879198,1,5
000660.KS,2025-01-10,0.05405400166951213,1,5
000660.KS,2025-01-13,0.09109618328743085,1,5
000660.KS,2025-01-14,0.11794872417245661,1,5
000660.KS,2025-01-15,0.1377396924962886,1,5
000660.KS,2025-01-16,0.04523797127457119,1,5
000660.KS,2025-01-17,0.030303065965223475,1,5
000660.KS,2025-01-20,-0.060377323105654024,0,5
000660.KS,2025-01-21,-0.12431192869699981,0,5
000660.KS,2025-01-22,-0.1525499066033117,0,5
000660.KS,2025-01-23,-0.09430518639315821,0,5
000660.KS,2025-01-24,-0.0791855064716408,0,5
000660.KS,2025-01-31,0.019076206694639497,1,5
000660.KS,2025-02-03,0.037716132457547014,1,5
000660.KS,2025-02-04,0.045002684431773465,1,5
000660.KS,2025-02-05,0.0005029967112364364,1,5
000660.KS,2025-02-06,0.02456998666266519,1,5
000660.KS,2025-02-07,0.034482927460886215,1,5
000660.KS,2025-02-10,0.07016654518532484,1,5
000660.KS,2025-02-11,0.0515773818341263,1,5
000660.KS,2025-02-12,0.09854199529175411,1,5
000660.KS,2025-02-13,0.016786537898670684,1,5
000660.KS,2025-02-14,-0.002381076344476485,0,5
000660.KS,2025-02-17,-0.033018878806792884,0,5
000660.KS,2025-02-18,-0.045238196662796715,0,5
000660.KS,2025-02-19,-0.07093830300685555,0,5
000660.KS,2025-02-20,-0.05430251442811718,0,5
000660.KS,2025-02-21,-0.08625447089069282,0,5
000660.KS,2025-02-24,-0.08632602021387392,0,5
000660.KS,2025-02-25,-0.03068114127616517,0,5
000660.KS,2025-02-26,-0.04608910173140157,0,5
000660.KS,2025-02-27,-0.03413655961643325,0,5
000660.KS,2025-02-28,-0.012092476846214284,0,5
000660.KS,2025-03-04,0.00913494093850642,1,5
000660.KS,2025-03-05,0.03003622163951314,1,5
000660.KS,2025-03-06,0.037941783029561194,1,5
000660.KS,2025-03-07,0.06288981814081396,1,5
000660.KS,2025-03-10,0.09632775980725827,1,5
000660.KS,2025-03-11,0.08093711412980742,1,5
000660.KS,2025-03-12,0.03318255690685046,1,5
000660.KS,2025-03-13,0.05157740692877977,1,5
000660.KS,2025-03-14,0.05378971437104152,1,5
000660.KS,2025-03-17,0.02669898221249878,1,5
000660.KS,2025-03-18,0.024630590943292674,1,5
000660.KS,2025-03-19,0.04136252633043558,1,5
000660.KS,2025-03-20,-0.014285682294224888,0,5
000660.KS,2025-03-21,-0.07517400899290749,0,5
000660.KS,2025-03-24,-0.09834512145915231,0,5
000660.KS,2025-03-25,-0.052884597630462604,0,5
000660.KS,2025-03-26,-0.07523365410182992,0,5
000660.KS,2025-03-27,-0.05990347778496441,0,5
000660.KS,2025-03-28,-0.08580027749287389,0,5
000660.KS,2025-03-31,-0.13581540826412997,0,5
000660.KS,2025-04-01,-0.13959389893530083,0,5
000660.KS,2025-04-02,-0.1662455421116238,0,5
000660.KS,2025-04-03,-0.05858161118703331,0,5
000660.KS,2025-04-04,-0.007683823842558946,0,5
000660.KS,2025-04-07,0.09344658993626931,1,5
000660.KS,2025-04-08,0.06548667901311633,1,5
000660.KS,2025-04-09,0.05454533017523966,1,5
000660.KS,2025-04-10,-0.0447598834306997,0,5
000660.KS,2025-04-11,-0.032079700494551555,0,5
000660.KS,2025-04-14,-0.019977810262257867,0,5
000660.KS,2025-04-15,-0.037652284917152,0,5
000660.KS,2025-04-16,0.04022994822471215,1,5
000660.KS,2025-04-17,0.01885712806427775,1,5
000660.KS,2025-04-18,0.053714262578039795,1,5
000660.KS,2025-04-21,0.030577544275565804,1,5
000660.KS,2025-04-22,0.04027624096114302,1,5
000660.KS,2025-04-23,-0.019337045762511385,0,5
000660.KS,2025-04-24,0.0431857261496591,1,5
000660.KS,2025-04-25,0.03470717310367499,1,5
000660.KS,2025-04-28,0.04560443677687687,1,5
000660.KS,2025-04-29,0.05143804926094697,1,5
000660.KS,2025-04-30,0.09859152441843988,1,5
000660.KS,2025-05-02,0.06720421838250568,1,5
000660.KS,2025-05-07,0.07966460295619204,1,5
000660.KS,2025-05-08,0.053599641770625706,1,5
000660.KS,2025-05-09,0.07574954955697843,1,5
000660.KS,2025-05-12,0.02256419292944467,1,5
000660.KS,2025-05-13,0.017632268866789813,1,5
000660.KS,2025-05-14,-0.02669898221249878,0,5
000660.KS,2025-05-15,-0.017955196369274673,0,5
000660.KS,2025-05-16,-0.022004879667497645,0,5
000660.KS,2025-05-19,0.018054090259445266,1,5
000660.KS,2025-05-20,0.0024752290844074487,1,5
000660.KS,2025-05-21,0.03740643758221007,1,5
000660.KS,2025-05-22,0.07863335737119903,1,5
000660.KS,2025-05-23,0.024346758767393784,1,5
000660.KS,2025-05-26,0.024013673648666245,1,5
000660.KS,2025-05-27,0.07601399785848795,1,5
000660.KS,2025-05-28,0.08127631400948165,1,5
000660.KS,2025-05-29,0.08018862110306357,1,5
000660.KS,2025-05-30,0.12713936505150336,1,5
000660.KS,2025-06-02,0.15662650784120413,1,5
000660.KS,2025-06-04,0.08275858794325686,1,5
000660.KS,2025-06-05,0.0489977296737214,1,5
000660.KS,2025-06-09,0.0829694931848004,1,5
000660.KS,2025-06-10,0.08026028321895673,1,5
000660.KS,2025-06-11,0.027083333604992488,1,5
000660.KS,2025-06-12,0.04458600418956182,1,5
000660.KS,2025-06-13,0.0912951609277739,1,5
000660.KS,2025-06-16,0.04637093772091139,1,5
000660.KS,2025-06-17,0.11847390327979967,1,5
000660.KS,2025-06-18,0.16024341903884443,1,5
000660.KS,2025-06-19,0.19105694366595305,1,5
000660.KS,2025-06-20,0.10505832311522756,1,5
000660.KS,2025-06-23,0.12524084894602927,1,5
000660.KS,2025-06-24,0.025134658988626546,1,5
000660.KS,2025-06-25,-0.024475532892721197,0,5
000660.KS,2025-06-26,-0.04948807884921902,0,5
000660.KS,2025-06-27,-0.04753522135580235,0,5
000660.KS,2025-06-30,-0.07191783354480774,0,5
000660.KS,2025-07-01,-0.012259143907538239,0,5
000660.KS,2025-07-02,0.0071684933567377485,1,5
000660.KS,2025-07-03,0.06642727290910844,1,5
000660.KS,2025-07-04,0.08872466814716007,1,5
000660.KS,2025-07-07,0.10701112721161943,1,5
000660.KS,2025-07-08,0.058510584580930836,1,5
000660.KS,2025-07-09,0.053380704443497295,1,5
000660.KS,2025-07-10,-0.09259261991095746,0,5
000660.KS,2025-07-11,-0.08658742532736097,0,5
000660.KS,2025-07-14,-0.0916666892687098,0,5
000660.KS,2025-07-15,-0.10050247304974946,0,5
000660.KS,2025-07-16,-0.09121613120613792,0,5
000660.KS,2025-07-17,0.0,0,5
000660.KS,2025-07-18,-0.01115246955268312,0,5
000660.KS,2025-07-21,-0.0385321236834365,0,5
000660.KS,2025-07-22,-0.022346417225588833,0,5
000660.KS,2025-07-23,-0.020446194179919108,0,5
000660.KS,2025-07-24,0.014842372944928295,1,5
000660.KS,2025-07-25,-0.03007515656686699,0,5
000660.KS,2025-07-28,-0.015267129982026173,0,5
000660.KS,2025-07-29,0.003809482593614577,1,5
000660.KS,2025-07-30,-0.018975305700655976,0,5
000660.KS,2025-07-31,-0.04204756242922125,0,5
000660.KS,2025-08-01,-0.005813981344823582,0,5
000660.KS,2025-08-04,0.034883706120473645,1,5
000660.KS,2025-08-05,0.020872966914565305,1,5
000660.KS,2025-08-06,0.07543520520228109,1,5
000660.KS,2025-08-07,0.05534348056282279,1,5
000660.KS,2025-08-08,0.042885013917795645,1,5
000660.KS,2025-08-11,-0.014981345402551027,0,5
000660.KS,2025-08-12,-0.050185938478881864,0,5
000660.KS,2025-08-13,-0.11870499142817159,0,5
000660.KS,2025-08-14,-0.09222417098441493,0,5
000660.KS,2025-08-18,-0.02990656851575879,0,5
000660.KS,2025-08-19,-0.0057033903821113174,0,5
000660.KS,2025-08-20,0.017612548431675812,1,5
000660.KS,2025-08-21,0.09750127495747218,1,5
000660.KS,2025-08-22,0.07326110473952374,1,5
000660.KS,2025-08-25,-0.012062556990013129,0,5
000660.KS,2025-08-26,-0.0023851921698008205,0,5
000660.KS,2025-08-27,0.011073663938372613,1,5
000660.KS,2025-08-28,-0.011173184357541888,0,5
000660.KS,2025-08-29,0.016728624535315983,1,5
000660.KS,2025-09-01,0.08203125,1,5
000660.KS,2025-09-02,0.10556621880998085,1,5
000660.KS,2025-09-03,0.15809523809523807,1,5
000660.KS,2025-09-04,0.15630885122410554,1,5
000660.KS,2025-09-05,0.20109689213893978,1,5
000660.KS,2025-09-08,0.19494584837545137,1,5
000660.KS,2025-09-09,0.20833333333333326,1,5
000660.KS,2025-09-10,0.09703947368421062,1,5
000660.KS,2025-09-11,0.1579804560260587,1,5
000660.KS,2025-09-12,0.06849315068493156,1,5
000660.KS,2025-09-15,0.0906344410876132,1,5
000660.KS,2025-09-16,0.027298850574712707,1,5
000660.KS,2025-09-17,0.06896551724137923,1,5
000660.KS,2025-09-18,-0.053445850914205395,0,5
000660.KS,2025-09-22,-0.005698005698005715,0,5
000660.KS,2025-09-23,-0.037396121883656486,0,5
000660.KS,2025-09-24,0.006993006993007089,1,5
000660.KS,2025-09-25,0.10939691444600275,1,5
000660.KS,2025-09-26,0.2719167904903417,1,5
000660.KS,2025-09-29,0.18911174785100293,1,5
000660.KS,2025-09-30,0.18417266187050352,1,5
000660.KS,2025-10-01,0.17361111111111116,1,5
000660.KS,2025-10-02,0.1441213653603035,1,5
000660.KS,2025-10-10,0.08761682242990654,1,5
000660.KS,2025-10-13,0.16987951807228918,1,5
000660.KS,2025-10-14,0.16403402187120286,1,5
000660.KS,2025-10-15,0.1396449704142011,1,5
000660.KS,2025-10-16,0.0574585635359115,1,5
000660.KS,2025-10-17,0.09559613319011806,1,5
000660.KS,2025-10-20,0.101956745623069,1,5
000660.KS,2025-10-21,0.08768267223382042,1,5
000660.KS,2025-10-22,0.1588785046728971,1,5
000660.KS,2025-10-23,0.1870428422152559,1,5
000660.KS,2025-10-24,0.09607843137254912,1,5
000660.KS,2025-10-27,0.1588785046728971,1,5
000660.KS,2025-10-28,0.12476007677543177,1,5
000660.KS,2025-10-29,0.037634408602150504,1,5
000660.KS,2025-10-30,0.04401408450704225,1,5
000660.KS,2025-10-31,0.0375670840787119,1,5
000660.KS,2025-11-03,-0.022580645161290325,0,5
000660.KS,2025-11-04,0.056313993174061494,1,5
000660.KS,2025-11-05,0.06563039723661479,1,5
000660.KS,2025-11-06,0.03204047217537953,1,5
000660.KS,2025-11-07,-0.03448275862068961,0,5
000660.KS,2025-11-10,0.0,0,5
000660.KS,2025-11-11,-0.07915993537964461,0,5
005930.KS,2024-10-28,0.010327117605861691,1,5
005930.KS,2024-10-29,-0.033557019965693935,0,5
005930.KS,2024-10-30,-0.030456796815233056,0,5
005930.KS,2024-10-31,-0.03209468460785514,0,5
005930.KS,2024-11-01,-0.02229845543727682,0,5
005930.KS,2024-11-04,-0.06303246648820404,0,5
005930.KS,2024-11-05,-0.07986114871065275,0,5
005930.KS,2024-11-06,-0.11692840731577347,0,5
005930.KS,2024-11-07,-0.12914478516793915,0,5
005930.KS,2024-11-08,-0.06140358199369411,0,5
005930.KS,2024-11-11,0.03090908548993765,1,5
005930.KS,2024-11-12,0.06226419592223964,1,5
005930.KS,2024-11-13,0.09288527867440499,1,5
005930.KS,2024-11-14,0.1302604288733311,1,5
005930.KS,2024-11-15,0.0467290313308788,1,5
005930.KS,2024-11-18,0.021164075636977753,1,5
005930.KS,2024-11-19,0.035523949042487235,1,5
005930.KS,2024-11-20,0.018083277691236743,1,5
005930.KS,2024-11-21,-0.015957381196213816,0,5
005930.KS,2024-11-22,-0.03214293899535137,0,5
005930.KS,2024-11-25,-0.07426596735251056,0,5
005930.KS,2024-11-26,-0.08061748218383313,0,5
005930.KS,2024-11-27,-0.056838389485340035,0,5
005930.KS,2024-11-28,-0.03243251304050765,0,5
005930.KS,2024-11-29,-0.001844888061496186,0,5
005930.KS,2024-12-02,-0.0037313775192224785,0,5
005930.KS,2024-12-03,0.007462680443716341,1,5
005930.KS,2024-12-04,0.016949157647262902,1,5
005930.KS,2024-12-05,0.04096834860633214,1,5
005930.KS,2024-12-06,0.03696854597283661,1,5
005930.KS,2024-12-09,0.04119850692035221,1,5
005930.KS,2024-12-10,0.0037035896239072663,1,5
005930.KS,2024-12-11,0.016666597560636154,1,5
005930.KS,2024-12-12,-0.050089406924530566,0,5
005930.KS,2024-12-13,-0.05525847617019464,0,5
005930.KS,2024-12-16,-0.037769844185109314,0,5
005930.KS,2024-12-17,0.0036901449678206077,1,5
005930.KS,2024-12-18,-0.02367934482429135,0,5
005930.KS,2024-12-19,0.018195023929050924,1,5
005930.KS,2024-12-20,0.010617841008567774,1,5
005930.KS,2024-12-23,0.004936714735432446,1,5
005930.KS,2024-12-24,0.006818606601758814,1,5
005930.KS,2024-12-26,0.05002158398475043,1,5
005930.KS,2024-12-27,0.03165741310578718,1,5
005930.KS,2024-12-30,0.07706770186590406,1,5
005930.KS,2025-01-02,0.05056185039464345,1,5
005930.KS,2025-01-03,0.016543987750017752,1,5
005930.KS,2025-01-06,-0.0322003195288324,0,5
005930.KS,2025-01-07,-0.027075838799407448,0,5
005930.KS,2025-01-08,-0.06282722113947925,0,5
005930.KS,2025-01-09,-0.0320855932950862,0,5
005930.KS,2025-01-10,-0.02893302833368594,0,5
005930.KS,2025-01-13,-0.012939063448756949,0,5
