date,ret,L_selected,XT,XC,score_best,XT_lag,XC_lag
2012-01-03,0.01581078763935917,20,0.014060177575193747,0.0017506100641654229,0.867956651062602,,
2012-01-04,0.0015674239377121424,20,6.673245401994069e-05,0.0015006914836922017,0.9048178382750928,0.014060177575193747,0.0017506100641654229
2012-01-05,0.002658651921510824,20,0.0016594222826341895,0.0009992296388766345,0.9715166006881776,6.673245401994069e-05,0.0015006914836922017
2012-01-06,-0.0025804790314927217,20,-0.0035855016403065635,0.001005022608813842,1.0,0.0016594222826341895,0.0009992296388766345
2012-01-09,0.002424530114059742,20,0.00201465476350168,0.0004098753505580618,1.0,-0.0035855016403065635,0.001005022608813842
2012-01-10,0.008632965681721672,20,0.008253497743183194,0.0003794679385384768,1.0,0.00201465476350168,0.0004098753505580618
2012-01-11,0.0005420837231602249,20,0.0002932447601217016,0.0002488389630385233,1.0,0.008253497743183194,0.0003794679385384768
2012-01-12,0.0023963762726051385,20,0.002726495370740498,-0.0003301190981353593,0.9238479167559067,0.0002932447601217016,0.0002488389630385233
2012-01-13,-0.005186840421286476,20,-0.004792849438334873,-0.00039399098295160297,0.8785425834129182,0.002726495370740498,-0.0003301190981353593
2012-01-17,0.0038732221640689346,20,0.004708618343257228,-0.0008353961791882926,0.8273939489755455,-0.004792849438334873,-0.00039399098295160297
2012-01-18,0.010995845594653275,20,0.012208687209897503,-0.0012128416152442285,0.8028643254518658,0.004708618343257228,-0.0008353961791882926
2012-01-19,0.005262448558133848,20,0.00570765523479392,-0.00044520667666007234,0.9281496224026636,0.012208687209897503,-0.0012128416152442285
2012-01-20,0.003720519188884275,20,0.005137715641462995,-0.0014171964525787205,0.8021197329167192,0.00570765523479392,-0.00044520667666007234
2012-01-23,-0.002580138144206323,20,-0.0012290390932529324,-0.0013510990509533907,0.8011095747837147,0.005137715641462995,-0.0014171964525787205
2012-01-24,-0.0011403810446779516,20,0.00036034556822090325,-0.001500726612898855,0.8290290831296141,-0.0012290390932529324,-0.0013510990509533907
2012-01-25,0.008332627715070373,20,0.009724377477514685,-0.0013917497624443126,0.9468832431659528,0.00036034556822090325,-0.001500726612898855
2012-01-26,-0.005142891507207814,20,-0.0036813451749714912,-0.0014615463322363226,1.0,0.009724377477514685,-0.0013917497624443126
2012-01-27,-0.00045525528549994476,20,0.0012882372906713993,-0.001743492576171344,0.9326987028148203,-0.0036813451749714912,-0.0014615463322363226
2012-01-30,-0.0034198845324926452,20,-0.0027158447149760435,-0.0007040398175166019,1.0,0.0012882372906713993,-0.001743492576171344
2012-01-31,-0.0003799580188017515,20,-0.0006502316461499817,0.00027027362734823024,1.0,-0.0027158447149760435,-0.0007040398175166019
2012-02-01,0.008718865061640102,20,0.007621077017855328,0.001097788043784774,1.0,-0.0006502316461499817,0.00027027362734823024
2012-02-02,0.0015841273490844188,20,0.00018275005299835546,0.0014013772960860633,0.8412767301443319,0.007621077017855328,0.001097788043784774
2012-02-03,0.013921381945416478,20,0.01176774011821257,0.002153641827203907,0.9349956370839444,0.00018275005299835546,0.0014013772960860633
2012-02-06,-0.0006692715608629385,20,-0.002764088369096273,0.0020948168082333346,0.8396405525926494,0.01176774011821257,0.002153641827203907
2012-02-07,0.0025255615192394387,20,0.0008828538386219406,0.001642707680617498,0.8548398472311773,-0.002764088369096273,0.0020948168082333346
2012-02-08,0.0029634499046240492,20,0.0014451577680587057,0.0015182921365653435,0.8955661877103864,0.0008828538386219406,0.001642707680617498
2012-02-09,0.0012563047954960993,20,-0.0008556824814395752,0.0021119872769356745,0.8435872845784798,0.0014451577680587057,0.0015182921365653435
2012-02-10,-0.007414817900243342,20,-0.00881577799637316,0.0014009600961298174,0.9382412120403766,-0.0008556824814395752,0.0021119872769356745
2012-02-13,0.007414817900243342,20,0.006513779705399046,0.0009010381948442957,1.0,-0.00881577799637316,0.0014009600961298174
2012-02-14,-0.0012563047954960993,20,-0.0016140875119402835,0.00035778271644418426,0.9943530979881378,0.006513779705399046,0.0009010381948442957
2012-02-15,-0.004671565681183765,20,-0.004988653062940827,0.0003170873817570626,0.9615288525703815,-0.0016140875119402835,0.00035778271644418426
2012-02-16,0.011012613408524885,20,0.011224897580777887,-0.00021228417225300253,0.9539878763758385,-0.004988653062940827,0.0003170873817570626
2012-02-17,0.002642634430594093,20,0.0033681352315056553,-0.0007255008009115622,0.9288956554658012,0.011224897580777887,-0.00021228417225300253
2012-02-21,0.00043965354920860733,20,0.001669771418977394,-0.0012301178697687867,0.8761227111781495,0.0033681352315056553,-0.0007255008009115622
2012-02-22,-0.003229198254508958,20,-0.0020402512675847207,-0.0011889469869242374,0.953000630942238,0.001669771418977394,-0.0012301178697687867
2012-02-23,0.004401164051479611,20,0.006629157457773536,-0.002227993406293925,0.7573565720323081,-0.0020402512675847207,-0.0011889469869242374
2012-02-24,0.002193303764014054,20,0.004475291109097579,-0.0022819873450835256,0.7580811024373357,0.006629157457773536,-0.002227993406293925
2012-02-27,0.001678148136122104,20,0.0036255275133397413,-0.0019473793772176373,0.9663522223571107,0.004475291109097579,-0.0022819873450835256
2012-02-28,0.0029118923615989445,20,0.00416707511856716,-0.0012551827569682154,1.0,0.0036255275133397413,-0.0019473793772176373
2012-02-29,-0.003933242980180829,20,-0.003839766044853293,-9.347693532753562e-05,0.9462849050064451,0.00416707511856716,-0.0012551827569682154
2012-03-01,0.005168413332918398,20,0.004582594177330368,0.0005858191555880296,0.8669225348525132,-0.003839766044853293,-9.347693532753562e-05
