#,Company,Symbol,Weight,Price,Chg,% Chg
91,Honeywell,HON,0.20%,196.04,-0.03,(-0.02%)
92,"Robinhood Markets, Inc.",HOOD,0.20%,134.12,-1.76,(-1.30%)
93,Medtronic,MDT,0.19%,92.64,-0.02,(-0.02%)
94,Prologis,PLD,0.19%,124.76,-0.14,(-0.11%)
95,Chubb Limited,CB,0.18%,288.26,0.0,(0.00%)
96,Analog Devices,ADI,0.18%,230.28,-1.72,(-0.74%)
97,Blackstone Inc.,BX,0.18%,144.43,0.13,(0.09%)
98,Constellation Energy,CEG,0.18%,358.66,-2.28,(-0.63%)
99,ConocoPhillips,COP,0.18%,88.27,0.03,(0.04%)
100,KKR,KKR,0.17%,120.56,0.45,(0.37%)
101,Vertex Pharmaceuticals,VRTX,0.17%,421.49,0.29,(0.07%)
102,Parker Hannifin,PH,0.17%,840.63,0.0,(0.00%)
103,McKesson Corporation,MCK,0.17%,859.37,0.0,(0.00%)
104,Lockheed Martin,LMT,0.17%,453.13,1.02,(0.23%)
105,HCA Healthcare,HCA,0.17%,459.35,0.05,(0.01%)
106,Automatic Data Processing,ADP,0.17%,253.62,-0.44,(-0.17%)
107,CME Group,CME,0.16%,277.78,0.5,(0.18%)
108,Southern Company,SO,0.16%,90.26,-0.5,(-0.55%)
109,Comcast,CMCSA,0.16%,27.22,0.1,(0.37%)
110,CVS Health,CVS,0.16%,77.36,-0.18,(-0.23%)
111,Newmont,NEM,0.16%,88.99,0.73,(0.83%)
112,Altria,MO,0.16%,57.63,0.08,(0.13%)
113,Trane Technologies,TT,0.16%,433.5,0.0,(0.00%)
114,Bristol Myers Squibb,BMY,0.16%,47.19,-0.07,(-0.16%)
115,Duke Energy,DUK,0.16%,123.35,0.41,(0.34%)
116,Starbucks,SBUX,0.16%,84.31,-0.29,(-0.35%)
117,Dell Technologies,DELL,0.15%,141.34,-1.35,(-0.95%)
118,General Dynamics,GD,0.15%,350.01,0.51,(0.15%)
119,"Nike, Inc.",NKE,0.15%,60.91,0.11,(0.18%)
120,Cadence Design Systems,CDNS,0.15%,328.94,0.0,(0.00%)
121,3M,MMM,0.14%,167.42,-0.25,(-0.15%)
122,DoorDash,DASH,0.14%,203.1,-0.98,(-0.48%)
123,Marsh McLennan,MMC,0.14%,178.12,0.0,(0.00%)
124,Moody's Corporation,MCO,0.14%,485.09,0.15,(0.03%)
125,Intercontinental Exchange,ICE,0.14%,149.5,0.0,(0.00%)
126,Sherwin-Williams,SHW,0.14%,342.55,0.0,(0.00%)
127,Howmet Aerospace,HWM,0.14%,210.5,0.76,(0.36%)
128,Coinbase Global,COIN,0.14%,314.07,-3.87,(-1.22%)
129,American Tower,AMT,0.14%,180.11,0.39,(0.22%)
130,O'Reilly Auto Parts,ORLY,0.14%,98.25,0.15,(0.15%)
131,Equinix,EQIX,0.13%,828.09,-0.04,(-0.01%)
132,Waste Management,WM,0.13%,200.69,0.22,(0.11%)
133,Northrop Grumman,NOC,0.13%,566.32,3.34,(0.59%)
134,Johnson Controls,JCI,0.13%,121.87,-0.72,(-0.58%)
135,United Parcel Service,UPS,0.13%,93.03,-0.03,(-0.03%)
136,Marriott International,MAR,0.13%,289.74,-0.73,(-0.25%)
137,BNY Mellon,BK,0.13%,110.94,-0.02,(-0.02%)
138,Apollo Global Management,APO,0.12%,131.32,0.4,(0.30%)
139,Corning Inc.,GLW,0.12%,88.44,-0.13,(-0.14%)
140,Cintas,CTAS,0.12%,185.61,0.36,(0.19%)
141,Synopsys,SNPS,0.12%,399.2,-1.57,(-0.39%)
142,Aon,AON,0.12%,344.87,0.0,(0.00%)
143,Williams Companies,WMB,0.12%,60.45,-0.15,(-0.25%)
144,U.S. Bancorp,USB,0.12%,47.23,-0.35,(-0.74%)
145,Ecolab,ECL,0.12%,259.0,0.44,(0.17%)
146,Emerson Electric,EMR,0.12%,129.99,0.0,(0.00%)
147,TE Connectivity,TEL,0.12%,247.76,0.0,(0.00%)
148,Airbnb,ABNB,0.12%,120.14,-0.06,(-0.05%)
149,TransDigm Group,TDG,0.12%,1288.84,-0.07,(-0.01%)
150,PNC Financial Services,PNC,0.12%,185.09,0.0,(0.00%)
151,Mondelez International,MDLZ,0.12%,56.25,-0.0,(-0.00%)
