#,Company,Symbol,Weight,Price,Chg,% Chg
399,GoDaddy,GDDY,0.03%,131.45,0.0,(0.00%)
400,Evergy,EVRG,0.03%,76.57,0.0,(0.00%)
401,Zimmer Biomet,ZBH,0.03%,88.73,0.0,(0.00%)
402,Paramount Skydance Corp,PSKY,0.03%,15.94,0.69,(4.52%)
403,Genuine Parts Company,GPC,0.03%,125.16,0.0,(0.00%)
404,McCormick & Company,MKC,0.03%,64.3,-0.01,(-0.02%)
405,Alliant Energy,LNT,0.03%,66.96,0.0,(0.00%)
406,Invitation Homes,INVH,0.03%,28.04,0.0,(0.00%)
407,Lennox International,LII,0.03%,489.42,-0.0,(-0.00%)
408,Southwest Airlines,LUV,0.03%,32.74,0.08,(0.23%)
409,DuPont,DD,0.03%,40.25,0.01,(0.02%)
410,Centene Corporation,CNC,0.03%,34.24,-0.01,(-0.03%)
411,Essex Property Trust,ESS,0.03%,260.15,0.0,(0.00%)
412,Weyerhaeuser,WY,0.03%,23.04,0.36,(1.60%)
413,Hologic,HOLX,0.03%,74.3,0.0,(0.00%)
414,Gartner,IT,0.03%,228.64,0.0,(0.00%)
415,Best Buy,BBY,0.03%,77.83,-0.32,(-0.40%)
416,Fortive,FTV,0.03%,51.33,0.0,(0.00%)
417,Gen Digital,GEN,0.03%,26.17,-0.18,(-0.68%)
418,International Flavors & Fragrances,IFF,0.03%,62.78,0.0,(0.00%)
419,J.B. Hunt,JBHT,0.03%,168.48,0.0,(0.00%)
420,Dow Inc.,DOW,0.03%,22.06,-0.05,(-0.20%)
421,Mid-America Apartment Communities,MAA,0.02%,129.55,0.0,(0.00%)
422,Erie Indemnity,ERIE,0.02%,277.63,0.0,(0.00%)
423,Textron,TXT,0.02%,82.06,0.0,(0.00%)
424,Allegion,ALLE,0.02%,166.88,0.0,(0.00%)
425,TKO Group Holdings,TKO,0.02%,179.5,0.33,(0.18%)
426,Universal Health Services,UHS,0.02%,222.28,-0.36,(-0.16%)
427,Fox Corporation (Class B),FOX,0.02%,60.05,0.0,(0.00%)
428,Cooper Companies (The),COO,0.02%,70.72,0.0,(0.00%)
429,Omnicom Group,OMC,0.02%,72.74,0.0,(0.00%)
430,Fox Corporation (Class A),FOXA,0.02%,66.53,0.0,(0.00%)
431,"F5, Inc.",FFIV,0.02%,240.77,0.0,(0.00%)
432,Everest Group,EG,0.02%,328.61,0.0,(0.00%)
433,LyondellBasell,LYB,0.02%,42.84,0.06,(0.15%)
434,Kimco Realty,KIM,0.02%,20.33,0.0,(0.00%)
435,Domino's,DPZ,0.02%,405.54,-2.05,(-0.50%)
436,Avery Dennison,AVY,0.02%,173.59,0.0,(0.00%)
437,Wynn Resorts,WYNN,0.02%,128.88,0.0,(0.00%)
438,Zebra Technologies,ZBRA,0.02%,261.51,0.88,(0.34%)
439,Nordson Corporation,NDSN,0.02%,234.77,0.0,(0.00%)
440,Brown–Forman,BF.B,0.02%,27.45,0.13,(0.47%)
441,CF Industries,CF,0.02%,82.85,0.0,(0.00%)
442,Regency Centers,REG,0.02%,70.09,0.0,(0.00%)
443,Clorox,CLX,0.02%,104.75,0.06,(0.06%)
444,Masco,MAS,0.02%,61.47,0.0,(0.00%)
445,IDEX Corporation,IEX,0.02%,168.8,0.0,(0.00%)
446,Host Hotels & Resorts,HST,0.02%,18.18,0.0,(0.00%)
447,Solventum,SOLV,0.02%,71.79,0.0,(0.00%)
448,Akamai Technologies,AKAM,0.02%,86.45,-0.67,(-0.77%)
449,Ball Corporation,BALL,0.02%,46.41,0.0,(0.00%)
450,Huntington Ingalls Industries,HII,0.02%,314.98,-3.68,(-1.15%)
451,Healthpeak Properties,DOC,0.02%,17.73,0.03,(0.18%)
452,Hormel Foods,HRL,0.02%,22.15,0.0,(0.00%)
453,Albemarle Corporation,ALB,0.02%,102.26,-1.32,(-1.27%)
454,Builders FirstSource,BLDR,0.02%,107.06,0.0,(0.00%)
455,Jack Henry & Associates,JKHY,0.02%,162.61,0.0,(0.00%)
456,Franklin Resources,BEN,0.02%,22.45,-0.07,(-0.31%)
457,Deckers Brands,DECK,0.02%,79.76,-0.08,(-0.10%)
458,Viatris,VTRS,0.02%,10.0,-0.17,(-1.67%)
459,J.M. Smucker Company (The),SJM,0.02%,107.21,0.0,(0.00%)
460,"UDR, Inc.",UDR,0.02%,34.57,0.0,(0.00%)
461,"BXP, Inc.",BXP,0.02%,71.61,0.0,(0.00%)
462,Assurant,AIZ,0.02%,226.11,0.0,(0.00%)
463,Dayforce,DAY,0.02%,68.6,0.0,(0.00%)
464,Hasbro,HAS,0.02%,78.12,-0.03,(-0.04%)
465,Camden Property Trust,CPT,0.02%,102.4,0.0,(0.00%)
466,Stanley Black & Decker,SWK,0.02%,68.43,0.48,(0.71%)
467,Globe Life,GL,0.02%,132.77,0.0,(0.00%)
468,Invesco,IVZ,0.02%,23.64,0.0,(0.00%)
469,Pinnacle West,PNW,0.02%,87.71,0.0,(0.00%)
470,Revvity,RVTY,0.02%,92.28,0.0,(0.00%)
471,Skyworks Solutions,SWKS,0.02%,68.78,-0.32,(-0.46%)
472,AES Corporation,AES,0.02%,14.21,-0.0,(-0.01%)
473,News Corp (Class A),NWSA,0.02%,27.11,0.31,(1.16%)
474,Align Technology,ALGN,0.02%,138.53,0.3,(0.21%)
475,FactSet,FDS,0.02%,265.27,0.18,(0.07%)
476,EPAM Systems,EPAM,0.02%,179.5,-2.91,(-1.59%)
477,Moderna,MRNA,0.02%,24.62,-0.15,(-0.59%)
478,Alexandria Real Estate Equities,ARE,0.02%,54.39,0.13,(0.23%)
479,Pool Corporation,POOL,0.02%,248.9,0.04,(0.02%)
480,Molson Coors Beverage Company,TAP,0.02%,46.87,0.03,(0.06%)
481,Interpublic Group of Companies (The),IPG,0.02%,25.18,0.2,(0.78%)
482,A. O. Smith,AOS,0.02%,66.21,0.04,(0.06%)
483,Paycom,PAYC,0.01%,166.8,0.0,(0.00%)
484,Campbell Soup Company,CPB,0.01%,30.75,0.11,(0.36%)
485,Generac,GNRC,0.01%,155.84,-0.8,(-0.51%)
486,Baxter International,BAX,0.01%,17.75,0.0,(0.00%)
487,MGM Resorts,MGM,0.01%,32.85,-0.01,(-0.02%)
488,Bio-Techne,TECH,0.01%,57.52,0.06,(0.10%)
489,Norwegian Cruise Line Holdings,NCLH,0.01%,19.05,0.01,(0.05%)
490,APA Corporation,APA,0.01%,24.35,0.0,(0.00%)
491,Henry Schein,HSIC,0.01%,73.0,0.0,(0.00%)
492,DaVita,DVA,0.01%,120.17,0.0,(0.00%)
493,Federal Realty Investment Trust,FRT,0.01%,96.78,0.0,(0.00%)
494,Lamb Weston,LW,0.01%,59.84,-0.52,(-0.87%)
495,Charles River Laboratories,CRL,0.01%,168.97,0.0,(0.00%)
496,Mosaic Company (The),MOS,0.01%,25.68,-0.21,(-0.83%)
497,Conagra Brands,CAG,0.01%,16.99,0.01,(0.06%)
498,Match Group,MTCH,0.01%,33.61,0.29,(0.89%)
499,LKQ Corporation,LKQ,0.01%,30.96,0.0,(0.00%)
500,Solstice Advanced Materials Inc.,SOLS,0.01%,47.4,0.21,(0.45%)
501,Molina Healthcare,MOH,0.01%,140.91,0.0,(0.00%)
502,Mohawk Industries,MHK,0.01%,108.08,0.0,(0.00%)
503,News Corp (Class B),NWS,0.01%,30.32,0.0,(0.00%)
